Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2020-010001,2019-08-25,2019-09-01,Standard Class,CUS-01071,Joseph Lee,Consumer,United States,San Francisco,California,46930,West,OFF-LAB-54942,Office Supplies,Labels,Maco Laser Labels,27.77,5,0.5,-2.09
2,CA-2019-010004,2020-07-20,2020-07-25,Standard Class,CUS-01043,David White,Corporate,United States,San Francisco,California,31178,West,OFF-STO-66057,Office Supplies,Storage,Bankers Box Stor/File,55.19,2,0,23.62
3,CA-2019-010004,2020-07-20,2020-07-25,Standard Class,CUS-01043,David White,Corporate,United States,San Francisco,California,31178,West,OFF-STO-66057,Office Supplies,Storage,Bankers Box Stor/File,55.19,2,0,23.62
4,CA-2019-010008,2022-04-07,2022-04-11,Second Class,CUS-01017,Charles Thompson,Home Office,United States,Boston,Massachusetts,57795,East,TEC-ACC-99399,Technology,Accessories,Anker USB-C Hub,25.69,2,0.3,9.3
5,CA-2019-010008,2022-04-07,2022-04-11,Second Class,CUS-01017,Charles Thompson,Home Office,United States,Boston,Massachusetts,57795,East,TEC-ACC-99399,Technology,Accessories,Anker USB-C Hub,25.69,2,0.3,9.3
6,CA-2019-010008,2022-04-07,2022-04-11,Second Class,CUS-01017,Charles Thompson,Home Office,United States,Boston,Massachusetts,57795,East,TEC-ACC-99399,Technology,Accessories,Anker USB-C Hub,25.69,2,0.3,9.3
7,CA-2019-010008,2022-04-07,2022-04-11,Second Class,CUS-01017,Charles Thompson,Home Office,United States,Boston,Massachusetts,57795,East,TEC-ACC-99399,Technology,Accessories,Anker USB-C Hub,25.69,2,0.3,9.3
8,CA-2020-010011,2019-11-29,2019-12-03,Second Class,CUS-01004,Jennifer Lee,Corporate,United States,San Francisco,California,63964,West,OFF-LAB-30866,Office Supplies,Labels,Staples Multipurpose Labels,8.59,2,0.4,-1.71
9,CA-2020-010011,2019-11-29,2019-12-03,Second Class,CUS-01004,Jennifer Lee,Corporate,United States,San Francisco,California,63964,West,OFF-LAB-30866,Office Supplies,Labels,Staples Multipurpose Labels,8.59,2,0.4,-1.71
10,CA-2020-010011,2019-11-29,2019-12-03,Second Class,CUS-01004,Jennifer Lee,Corporate,United States,San Francisco,California,63964,West,OFF-LAB-30866,Office Supplies,Labels,Staples Multipurpose Labels,8.59,2,0.4,-1.71
11,CA-2020-010011,2019-11-29,2019-12-03,Second Class,CUS-01004,Jennifer Lee,Corporate,United States,San Francisco,California,63964,West,OFF-LAB-30866,Office Supplies,Labels,Staples Multipurpose Labels,8.59,2,0.4,-1.71
12,CA-2020-010013,2021-07-31,2021-08-03,First Class,CUS-01106,John Perez,Consumer,United States,Seattle,Washington,13101,West,OFF-LAB-53025,Office Supplies,Labels,Staples Multipurpose Labels,5.34,2,0.2,1.02
13,CA-2020-010013,2021-07-31,2021-08-03,First Class,CUS-01106,John Perez,Consumer,United States,Seattle,Washington,13101,West,OFF-LAB-53025,Office Supplies,Labels,Staples Multipurpose Labels,5.34,2,0.2,1.02
14,CA-2020-010013,2021-07-31,2021-08-03,First Class,CUS-01106,John Perez,Consumer,United States,Seattle,Washington,13101,West,OFF-LAB-53025,Office Supplies,Labels,Staples Multipurpose Labels,5.34,2,0.2,1.02
15,CA-2020-010013,2021-07-31,2021-08-03,First Class,CUS-01106,John Perez,Consumer,United States,Seattle,Washington,13101,West,OFF-LAB-53025,Office Supplies,Labels,Staples Multipurpose Labels,5.34,2,0.2,1.02
16,CA-2021-010015,2019-08-25,2019-08-27,First Class,CUS-01075,Sarah Martinez,Home Office,United States,Chicago,Illinois,24208,Central,OFF-APP-51114,Office Supplies,Appliances,Bostitch QuietSharp Sharpener,340.79,9,0,69.55
17,CA-2021-010015,2019-08-25,2019-08-27,First Class,CUS-01075,Sarah Martinez,Home Office,United States,Chicago,Illinois,24208,Central,OFF-APP-51114,Office Supplies,Appliances,Bostitch QuietSharp Sharpener,340.79,9,0,69.55
18,CA-2021-010016,2022-12-22,2022-12-22,Same Day,CUS-01067,Betty Taylor,Home Office,United States,San Francisco,California,66531,West,TEC-ACC-96951,Technology,Accessories,Belkin Surge Protector,284.58,5,0.2,90.14
19,CA-2021-010016,2022-12-22,2022-12-22,Same Day,CUS-01067,Betty Taylor,Home Office,United States,San Francisco,California,66531,West,TEC-ACC-96951,Technology,Accessories,Belkin Surge Protector,284.58,5,0.2,90.14
20,CA-2021-010016,2022-12-22,2022-12-22,Same Day,CUS-01067,Betty Taylor,Home Office,United States,San Francisco,California,66531,West,TEC-ACC-96951,Technology,Accessories,Belkin Surge Protector,284.58,5,0.2,90.14
21,CA-2022-010017,2022-02-09,2022-02-12,Second Class,CUS-01054,David Martin,Home Office,United States,Atlanta,Georgia,90676,South,OFF-FAS-81819,Office Supplies,Fasteners,Acme Scissors,66.69,5,0.2,8.94
22,CA-2022-010017,2022-02-09,2022-02-12,Second Class,CUS-01054,David Martin,Home Office,United States,Atlanta,Georgia,90676,South,OFF-FAS-81819,Office Supplies,Fasteners,Acme Scissors,66.69,5,0.2,8.94
23,CA-2022-010017,2022-02-09,2022-02-12,Second Class,CUS-01054,David Martin,Home Office,United States,Atlanta,Georgia,90676,South,OFF-FAS-81819,Office Supplies,Fasteners,Acme Scissors,66.69,5,0.2,8.94
24,CA-2022-010020,2021-06-24,2021-06-29,Second Class,CUS-01061,William Jones,Home Office,United States,Los Angeles,California,47196,West,OFF-ENV-40784,Office Supplies,Envelopes,Quality Park Catalog Envelopes,102.71,4,0.1,11.19
25,CA-2020-010024,2022-06-05,2022-06-11,Standard Class,CUS-01054,David Martin,Home Office,United States,Portland,Oregon,74799,West,FUR-TAB-95990,Furniture,Tables,IKEA Bekant Desk,196.7,2,0.4,-13.53
26,CA-2020-010024,2022-06-05,2022-06-11,Standard Class,CUS-01054,David Martin,Home Office,United States,Portland,Oregon,74799,West,FUR-TAB-95990,Furniture,Tables,IKEA Bekant Desk,196.7,2,0.4,-13.53
27,CA-2020-010024,2022-06-05,2022-06-11,Standard Class,CUS-01054,David Martin,Home Office,United States,Portland,Oregon,74799,West,FUR-TAB-95990,Furniture,Tables,IKEA Bekant Desk,196.7,2,0.4,-13.53
28,CA-2020-010024,2022-06-05,2022-06-11,Standard Class,CUS-01054,David Martin,Home Office,United States,Portland,Oregon,74799,West,FUR-TAB-95990,Furniture,Tables,IKEA Bekant Desk,196.7,2,0.4,-13.53
29,CA-2019-010028,2020-05-25,2020-05-31,Standard Class,CUS-01018,Betty Lee,Consumer,United States,Nashville,Tennessee,83259,South,OFF-ENV-90301,Office Supplies,Envelopes,Staples 10-Envelope Box,44.66,9,0.4,-8.54
30,CA-2019-010028,2020-05-25,2020-05-31,Standard Class,CUS-01018,Betty Lee,Consumer,United States,Nashville,Tennessee,83259,South,OFF-ENV-90301,Office Supplies,Envelopes,Staples 10-Envelope Box,44.66,9,0.4,-8.54
31,CA-2019-010028,2020-05-25,2020-05-31,Standard Class,CUS-01018,Betty Lee,Consumer,United States,Nashville,Tennessee,83259,South,OFF-ENV-90301,Office Supplies,Envelopes,Staples 10-Envelope Box,44.66,9,0.4,-8.54
32,CA-2019-010028,2020-05-25,2020-05-31,Standard Class,CUS-01018,Betty Lee,Consumer,United States,Nashville,Tennessee,83259,South,OFF-ENV-90301,Office Supplies,Envelopes,Staples 10-Envelope Box,44.66,9,0.4,-8.54
33,CA-2020-010033,2021-07-10,2021-07-12,First Class,CUS-01108,Christopher Martinez,Consumer,United States,Columbus,Ohio,73517,Central,OFF-LAB-67654,Office Supplies,Labels,Staples Multipurpose Labels,10.99,5,0.1,1.74
34,CA-2020-010033,2021-07-10,2021-07-12,First Class,CUS-01108,Christopher Martinez,Consumer,United States,Columbus,Ohio,73517,Central,OFF-LAB-67654,Office Supplies,Labels,Staples Multipurpose Labels,10.99,5,0.1,1.74
35,CA-2020-010033,2021-07-10,2021-07-12,First Class,CUS-01108,Christopher Martinez,Consumer,United States,Columbus,Ohio,73517,Central,OFF-LAB-67654,Office Supplies,Labels,Staples Multipurpose Labels,10.99,5,0.1,1.74
36,CA-2019-010037,2019-11-05,2019-11-09,Second Class,CUS-01089,Michael Johnson,Home Office,United States,Seattle,Washington,18418,West,FUR-FUR-81121,Furniture,Furnishings,Master Caster Doorstop,21.61,1,0.1,8.28
37,CA-2019-010037,2019-11-05,2019-11-09,Second Class,CUS-01089,Michael Johnson,Home Office,United States,Seattle,Washington,18418,West,FUR-FUR-81121,Furniture,Furnishings,Master Caster Doorstop,21.61,1,0.1,8.28
38,CA-2019-010037,2019-11-05,2019-11-09,Second Class,CUS-01089,Michael Johnson,Home Office,United States,Seattle,Washington,18418,West,FUR-FUR-81121,Furniture,Furnishings,Master Caster Doorstop,21.61,1,0.1,8.28
39,CA-2019-010037,2019-11-05,2019-11-09,Second Class,CUS-01089,Michael Johnson,Home Office,United States,Seattle,Washington,18418,West,FUR-FUR-81121,Furniture,Furnishings,Master Caster Doorstop,21.61,1,0.1,8.28
40,CA-2019-010039,2021-02-18,2021-02-18,Same Day,CUS-01046,James White,Home Office,United States,Kansas City,Missouri,64921,Central,OFF-SUP-38906,Office Supplies,Supplies,Scotch Magic Tape,11.77,5,0.4,-1.44
41,CA-2019-010039,2021-02-18,2021-02-18,Same Day,CUS-01046,James White,Home Office,United States,Kansas City,Missouri,64921,Central,OFF-SUP-38906,Office Supplies,Supplies,Scotch Magic Tape,11.77,5,0.4,-1.44
42,CA-2019-010039,2021-02-18,2021-02-18,Same Day,CUS-01046,James White,Home Office,United States,Kansas City,Missouri,64921,Central,OFF-SUP-38906,Office Supplies,Supplies,Scotch Magic Tape,11.77,5,0.4,-1.44
43,CA-2019-010039,2021-02-18,2021-02-18,Same Day,CUS-01046,James White,Home Office,United States,Kansas City,Missouri,64921,Central,OFF-SUP-38906,Office Supplies,Supplies,Scotch Magic Tape,11.77,5,0.4,-1.44
44,CA-2021-010044,2019-12-05,2019-12-05,Same Day,CUS-01080,Michael White,Corporate,United States,Baltimore,Maryland,87580,East,OFF-BIN-94246,Office Supplies,Binders,Avery Heavy Duty Binder,29.43,8,0,2.06
45,CA-2021-010044,2019-12-05,2019-12-05,Same Day,CUS-01080,Michael White,Corporate,United States,Baltimore,Maryland,87580,East,OFF-BIN-94246,Office Supplies,Binders,Avery Heavy Duty Binder,29.43,8,0,2.06
46,CA-2021-010044,2019-12-05,2019-12-05,Same Day,CUS-01080,Michael White,Corporate,United States,Baltimore,Maryland,87580,East,OFF-BIN-94246,Office Supplies,Binders,Avery Heavy Duty Binder,29.43,8,0,2.06
47,CA-2021-010044,2019-12-05,2019-12-05,Same Day,CUS-01080,Michael White,Corporate,United States,Baltimore,Maryland,87580,East,OFF-BIN-94246,Office Supplies,Binders,Avery Heavy Duty Binder,29.43,8,0,2.06
48,CA-2021-010048,2021-07-20,2021-07-23,First Class,CUS-01098,Patricia Clark,Corporate,United States,Miami,Florida,65255,South,FUR-CHA-12540,Furniture,Chairs,Flash Furniture Mesh Chair,487.0,1,0.3,68.03
49,CA-2019-010050,2020-05-21,2020-05-24,Second Class,CUS-01080,Michael White,Corporate,United States,Seattle,Washington,26544,West,FUR-CHA-70952,Furniture,Chairs,Steelcase Leap V2,3933.4,6,0,1149.96
50,CA-2020-010051,2019-08-10,2019-08-16,Standard Class,CUS-01074,John Lopez,Consumer,United States,Charlotte,North Carolina,35995,South,TEC-MAC-92213,Technology,Machines,Fellowes Powershred 79Ci,882.13,5,0,325.06
51,CA-2021-010054,2021-05-27,2021-05-29,First Class,CUS-01065,Richard Harris,Corporate,United States,Chicago,Illinois,65057,Central,FUR-CHA-57472,Furniture,Chairs,Flash Furniture Mesh Chair,1610.2,8,0,361.0
52,CA-2021-010054,2021-05-27,2021-05-29,First Class,CUS-01065,Richard Harris,Corporate,United States,Chicago,Illinois,65057,Central,FUR-CHA-57472,Furniture,Chairs,Flash Furniture Mesh Chair,1610.2,8,0,361.0
53,CA-2021-010054,2021-05-27,2021-05-29,First Class,CUS-01065,Richard Harris,Corporate,United States,Chicago,Illinois,65057,Central,FUR-CHA-57472,Furniture,Chairs,Flash Furniture Mesh Chair,1610.2,8,0,361.0
